Gene00,Gene01,Gene02,Gene03,Gene04,Gene05,Gene06,Gene07,Gene08,Gene09,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19
0.67102,-1.20582,-1.37418,-0.314568,-0.39106,-0.100235,1.86228,-0.812495,0.114064,1.16349,2.87687,-1.00621,2.03957,0.65362,-0.953719,2.22356,-0.397984,-0.589326,-0.226164,-0.988895
-0.496185,0.260309,1.01022,0.216867,-0.571417,1.60076,-2.194,2.36147,-2.99037,-0.245488,-0.889477,1.41492,-0.0257696,0.887078,-0.566714,1.61076,1.51781,0.372951,0.373773,-2.18624
-0.110112,-0.335906,-0.513491,0.569927,0.966153,0.497295,1.12489,1.59447,-1.11219,-0.497644,-0.219494,-0.383445,-0.758172,0.970423,-0.386879,0.337905,0.966673,-0.861042,-0.433658,-0.761882
1.95109,0.746125,-0.770214,0.192099,0.016211,0.179225,2.9143,1.04078,0.453262,2.42573,0.508024,0.175856,2.23153,2.68392,1.95846,-0.219255,0.738342,0.835939,0.151426,0.200759
0.161098,1.22641,-0.0438397,-1.17617,-0.786926,0.325983,0.273052,1.8402,1.1799,-0.762572,-0.958223,-0.497441,0.566227,1.28551,1.18457,-0.00492848,-1.43141,0.318786,-1.03794,-0.694615
0.94551,0.70148,-0.10651,0.591507,0.517242,-2.03903,2.3468,-0.806793,3.04234,1.86771,1.57993,-1.10442,-0.563744,0.986084,0.634078,0.234503,-0.917578,-0.402854,-0.353627,0.677914
0.246399,-0.224094,0.340429,-1.33211,0.0532899,1.24686,-0.423878,3.78022,-1.28189,-0.0128823,0.0369728,0.888586,1.93581,0.877236,1.13832,1.08541,3.36274,-0.283873,3.20572,0.827449
1.0295,-1.62968,0.148296,0.974747,0.0439906,0.810433,0.704801,0.927701,1.95251,0.386472,0.109181,0.0936014,1.29731,0.595965,-0.903266,1.56908,1.62129,0.445324,1.79977,1.11509
1.24183,0.755632,1.81069,0.884514,2.12553,-2.03502,1.23955,-1.31583,1.27891,1.44944,-0.255439,-0.634104,0.421191,0.971298,0.923688,-0.0145923,0.126861,-1.25847,-0.343401,-0.960921
0.136628,0.669698,0.741048,1.04275,0.410123,-0.0382507,2.38755,-0.345965,1.67854,-0.646076,-0.660391,0.401298,-1.27619,-0.634247,-1.63333,0.84457,1.27655,-1.05824,0.00497764,-2.52945
2.96138,-0.283858,-1.94198,-1.5377,0.192931,-0.0651572,3.0548,4.87743,1.21438,4.27969,3.33167,1.37306,3.84016,0.217147,2.82182,0.22637,4.13109,0.244987,2.13687,3.56489
-0.892043,-0.55813,-0.275132,-0.208094,-0.00107184,0.806513,-1.9387,-1.20652,-0.907062,0.984763,0.68203,0.404249,-0.769044,0.269495,0.0660817,1.24767,-0.629409,-0.209612,1.1599,2.14159
-1.3275,-0.645068,-1.99558,-1.51957,-1.26256,1.41173,-1.43783,1.32451,-0.608627,-2.55513,-1.33836,0.960593,-0.456455,1.00226,-1.50606,1.10123,0.670237,-2.33559,-1.67702,1.6767
1.515,-0.608712,0.360686,0.5956,-0.239882,0.953043,0.0502382,-0.0517565,-0.69128,2.17252,1.91313,0.867941,1.35403,-0.464389,0.0503993,-0.487375,-0.301829,1.14173,0.756787,0.800467
-2.05954,0.106404,-2.2023,-1.55216,1.96908,-0.093687,-3.2213,-1.32248,-2.14974,-3.65463,-3.20272,0.412375,-1.40078,1.08026,-0.452554,0.926113,-0.93935,0.154005,-1.48689,-0.553119
0.215366,0.062855,-2.75484,-1.88264,0.647749,-1.34612,-1.89965,0.622503,-2.62296,0.0979822,-0.092778,0.597777,-0.598199,1.34849,0.277911,1.75941,2.41575,1.26922,1.77333,-0.247605
1.22583,0.0729341,1.72026,2.14295,0.0507154,1.43413,3.1762,1.30694,2.38758,0.873574,0.326598,-1.16943,1.3231,0.0905857,-1.19598,-1.54434,0.159109,-0.534262,-2.86208,-0.393936
-0.299891,-0.390615,0.105902,0.060469,0.216801,-0.444579,-0.796815,-1.48374,1.63414,-0.578001,-2.80083,-0.193954,0.588402,2.76584,-0.378098,-1.06803,-0.882613,-0.0628505,-2.40049,-0.0911624
0.835408,0.84214,1.09931,1.02781,0.271358,0.322223,2.08127,-0.227375,2.69257,-0.133438,-1.02706,-1.89717,-0.918108,-0.146671,0.9268,-1.80113,1.36435,0.0814237,0.199497,-0.038311
0.369312,1.03412,-1.70503,-0.577989,-0.424859,-0.401657,0.924644,0.92743,0.810347,-1.01496,0.450109,-0.648891,0.845796,-0.0469201,1.2379,1.79185,-0.821526,1.17406,0.947015,1.61527
-0.0265779,0.736475,0.353232,0.948798,0.583926,0.0228252,0.119934,-0.877626,1.58862,-0.698901,0.993575,0.127146,-3.06283,-0.691205,-1.78444,0.201514,-1.41526,1.43947,-2.43433,-1.399
1.96225,1.87569,-0.893704,-0.501917,-1.00289,0.947393,1.79813,1.27844,-0.544322,2.5281,1.51437,0.729322,1.9375,0.744301,0.695056,-0.310074,2.14965,-0.780658,1.58315,1.00922
0.204366,-1.02242,-0.346075,-1.96105,0.911047,-0.299564,1.76619,1.45728,1.74089,1.67489,3.80318,-0.289325,0.19183,0.481962,2.23407,0.523971,0.668519,1.11098,1.20326,2.43381
-1.79703,-1.63028,-0.602835,-0.728221,-0.349678,0.967082,-4.03785,0.143772,-3.51054,-1.04741,1.13674,-0.375115,-0.214072,-1.11585,-0.876996,0.263399,-1.42906,0.862652,-1.01407,1.22929
0.157281,-1.99482,-0.460492,-1.56303,1.09086,0.624218,0.202953,1.72667,0.360935,-0.76947,0.261696,0.0720869,2.20425,0.665318,0.0109548,0.730634,-0.640875,1.84906,-0.406431,1.21846
0.833693,-0.285377,-0.129535,0.348868,-1.57161,0.351983,2.13024,0.409792,2.37863,-0.583913,-0.352161,2.01358,2.09483,0.561006,-0.858466,-1.63286,-1.00879,-0.847767,-1.58012,0.643706
-1.37821,1.27828,-1.77045,-0.875499,-0.316564,0.698457,-2.51126,0.525894,-3.26797,-1.8293,0.555068,-1.79866,-2.71385,0.155322,0.312935,0.293881,-0.634562,-0.35169,-2.08813,-1.382
-0.0118345,-0.00476441,-1.0894,-0.755099,-0.255769,-1.92447,-0.851019,1.88647,0.237817,-0.381339,0.109142,-0.539189,-0.166948,0.763158,0.243808,0.631028,2.0837,0.55401,0.815163,-1.02387
0.345179,-2.14301,0.484318,-0.146264,-0.165544,2.47118,2.61348,1.32191,1.86838,1.0872,-1.61506,-2.78993,-0.427914,0.79422,1.89815,1.3738,1.84777,0.712835,1.54152,1.28593
-0.408179,0.305871,-0.0633502,-0.887234,-0.224467,-0.835028,0.0873808,-1.5001,-0.050294,-1.02598,-1.67164,-0.766999,-1.71099,0.207819,-0.703146,-0.69469,1.09019,1.34921,-0.227276,-1.10077
0.269907,-0.703181,0.571302,-0.615218,-0.510498,-0.699921,2.88385,1.04123,3.52818,0.750066,1.06699,-0.173385,2.30157,-0.0648296,1.47693,-1.41281,0.887002,1.82507,1.01333,-0.940488
0.416342,0.873538,0.348328,0.42468,-0.895492,0.33323,1.66937,1.50942,2.80161,-1.10714,-1.8782,-0.569014,0.294999,-0.0441999,-2.51034,-0.923424,-0.320789,0.0186094,-0.0665513,-0.740638
-1.23356,1.92062,0.560091,-0.250599,-1.2106,0.20114,-2.546,-0.487275,-2.62974,-1.94316,-3.53899,-0.41565,-0.454099,-0.869217,-1.00291,0.444074,-0.559118,0.212872,-1.45775,-2.42362
-0.200534,-1.49993,-0.0372177,-1.10563,-0.316821,0.670109,-0.337008,1.91649,0.0671514,0.309843,0.185012,0.5737,0.790554,0.898524,1.29769,2.2935,-0.898869,-0.989868,-1.99145,0.600151
-0.225339,0.661175,-1.19888,-1.34183,-0.479142,-0.850546,-0.922155,1.63571,-1.62741,0.749459,-0.645904,1.83498,0.265375,0.181898,-1.1093,0.89976,1.45512,-0.857964,1.40154,-1.20476
0.709776,-0.0843612,-0.530612,-0.892896,-0.215616,-0.806422,1.26231,3.54847,1.91353,-0.461758,-1.29082,-0.907759,2.07793,-0.342929,0.307707,0.430113,2.04465,-1.56267,1.7942,-0.851013
-0.699526,0.032423,-1.74884,-3.32437,-1.43868,0.291273,-1.73563,0.688652,-1.41101,0.935247,1.91425,0.761945,0.210371,-0.337615,1.69762,1.97008,-1.83418,-2.4765,-0.5042,2.0611
0.618052,-0.877998,0.176587,0.0781597,-0.710415,1.05373,1.07169,1.72088,1.76615,0.962825,1.90528,-0.388924,0.663422,0.910217,-0.944071,0.34613,0.612812,0.913099,2.89175,0.886714
1.51617,-0.711882,-0.139051,0.40605,0.10476,-0.243872,2.68202,0.0274037,1.48643,1.82715,1.67096,-0.489934,0.747385,0.396935,-0.555713,0.819421,2.11575,1.14617,1.55866,1.42753
-0.723655,-0.456136,-0.510205,-1.26003,-0.0522797,-1.22513,-0.662904,-0.724111,0.875818,-0.742304,-0.736089,0.913851,-1.12316,-0.273658,0.78877,-0.0896945,-0.886276,-0.371731,-0.312257,0.415635
-0.915057,-0.00946213,0.0678951,0.0980385,-1.88961,0.759217,-1.76328,1.60421,-1.9095,-1.29492,-1.65317,2.16566,1.73184,-0.460161,-0.343782,-2.33424,-0.370352,-0.139634,-0.92842,-1.08854
1.75218,0.349304,-0.632764,-1.10999,1.39324,-0.737937,2.9713,1.95906,2.09008,2.04682,1.4104,-0.538034,2.58829,1.77473,0.75177,-0.0167261,0.401162,-0.224245,2.07323,1.20372
0.203526,-0.284716,-0.344915,0.271856,0.0841617,-0.959417,0.791894,-1.04591,-0.628271,-0.653299,-0.301563,0.0727279,-0.427248,0.0739881,-0.698043,1.10351,0.165924,0.850508,0.494462,0.0908874
0.665818,-0.50622,0.822981,1.37598,-1.01139,0.553921,0.980407,-1.05846,1.0921,-0.495001,0.0866888,0.19964,0.56776,-0.315814,-0.878976,-2.21659,1.18443,2.25915,-0.197427,0.163355
1.08138,-1.4775,1.2872,0.976243,1.35954,0.379329,2.63395,-1.28787,3.7551,0.691565,0.188506,-0.410671,1.20991,1.09177,0.584531,-1.85351,0.940872,-1.09493,-1.62389,1.73598
-1.5551,0.729225,-1.08127,-1.21259,-2.336,1.01166,-3.78544,1.05272,-2.45541,-1.58819,-2.5589,-1.06129,-1.69624,-0.308439,-1.74539,-0.0509249,0.0654602,0.410061,0.858366,-0.131507
0.246382,0.545707,1.30421,3.67121,0.435285,-1.51591,-1.92877,-2.39296,-2.48674,1.91019,0.714624,-0.0913696,-1.62845,-0.131135,0.0306626,-0.989856,0.243053,-0.309098,-0.212019,-0.127588
-1.50256,-0.286252,-0.939804,-1.87153,-0.711562,0.359419,-3.11844,0.449324,-1.68332,-3.63615,-2.16651,-0.0991318,-1.4171,-0.8369,-0.992115,-0.487822,-0.731057,-1.20842,-1.61076,-1.04194
-1.39386,-0.514336,-1.0979,-0.985028,-1.58423,-0.0283651,-2.41235,0.916197,-2.29614,-0.691347,-0.730458,0.283709,-1.48703,-0.239371,-0.817458,-0.132621,-2.45474,-0.505993,-0.519011,-0.554387
-0.531218,-0.217327,0.960008,0.375448,-0.400805,0.0342539,-0.350149,0.178621,0.242862,-0.0582388,-0.213286,-0.80049,-1.94786,-0.0765825,-1.05102,-0.862815,0.0591002,0.117747,0.612246,-0.459581
0.383756,1.94878,-1.63127,-0.83914,-0.565115,-0.195704,0.614919,1.69811,-1.80731,0.0397779,-1.12495,-1.82595,2.79079,0.0714535,-0.503291,0.0592542,0.305757,1.15784,0.183086,-1.45074
0.995581,0.866004,-0.708323,-1.83602,0.413046,-0.110276,0.321359,0.380044,2.24671,1.90578,0.938559,-1.49341,0.908955,0.690924,0.550893,0.344077,-0.388792,-0.550885,0.551447,-0.937876
-0.0421281,-0.43695,-0.593972,0.0707546,0.461337,-0.048588,-1.93349,-2.93835,-2.69919,-0.933418,0.254038,-1.25818,-2.14341,0.370097,-3.23207,-0.0275354,-1.43214,-0.588991,-1.40559,1.1155
1.2569,1.87197,-0.139091,0.708806,-0.667974,-1.15145,1.06276,1.10921,0.554199,0.767095,0.556546,-1.23546,1.19542,-0.194254,0.240792,-1.0107,0.549594,1.92849,1.07136,-0.351968
-0.219152,0.554968,0.873101,0.364874,-0.424916,-0.0771028,-1.36352,-1.16376,-2.03302,-0.798113,0.480265,-0.881012,-0.591116,-1.25619,0.13514,0.544026,-0.896048,1.16897,0.45248,-0.219239
0.112335,-0.00899146,1.21127,2.67654,-0.286496,1.72392,0.638754,-0.0282305,-0.372305,0.48206,0.470389,0.177784,0.667812,-0.0409419,-2.69141,-1.76183,0.205971,1.84705,1.74278,0.00116123
0.286289,0.433001,-0.981192,-0.56466,-0.0340182,-0.861005,-1.04836,-0.0536358,-1.63735,-1.09231,-0.584677,-0.945409,-0.947816,1.1162,-2.85117,0.0103757,0.538645,-1.56086,-0.8442,-0.387091
0.303699,-0.0242575,-1.06528,-2.29771,1.34406,-0.648515,-0.400123,0.537621,-1.89289,-0.374286,-0.431167,0.352711,-0.44823,2.0603,0.0712474,1.22216,-0.166808,-0.0812759,0.348919,0.843199
-0.425766,0.00354856,-1.16148,-1.42464,-1.50921,1.3501,-0.656873,3.06938,-1.12421,0.683076,-0.234134,-0.273669,0.858239,1.08371,0.26181,0.79343,1.26425,1.29118,4.28371,-0.132182
0.214919,0.198771,0.599875,-0.297564,-0.306916,-0.548882,-0.670455,-0.637609,0.848568,0.534222,-0.460287,-0.644265,-2.0545,-1.22604,0.225637,-0.559431,1.68462,0.288921,0.558752,-0.0730244
0.208272,1.01943,-0.842508,1.40237,-2.52107,-0.736176,-2.34203,-0.977183,-2.23101,-0.405483,-0.584247,0.708967,-2.01668,1.64141,-3.46078,0.847105,-0.539588,1.12597,-0.384111,-0.402101
0.331399,1.06454,1.0345,-0.2345,-0.484855,0.581483,0.286002,0.376247,0.972692,-0.920048,-0.8094,0.308852,2.79631,0.735603,-0.905066,1.56581,0.818852,0.212358,0.731046,-1.06333
0.726272,0.47753,-0.079289,2.02831,0.182155,-0.261636,0.953679,-0.307948,0.807547,1.05009,-0.677284,2.1785,1.3904,-0.721998,-0.152305,0.240037,0.507905,-0.413071,-1.09945,0.103586
0.629775,0.911042,-0.293701,-0.325597,0.156265,-0.782455,1.05055,1.46035,1.43394,0.320929,-0.624677,0.138969,1.56599,-0.593462,0.479724,-0.327096,1.20925,-0.378922,-0.286425,1.03919
0.691829,-0.367711,0.334133,0.608785,-0.338394,1.16246,3.16635,0.806024,3.03631,1.14584,1.49603,-2.65952,0.778988,0.324463,2.10653,-0.0824035,2.88713,0.626516,0.375527,1.28971
0.272597,1.4653,-1.57211,-2.46203,0.640413,-1.08503,-1.56738,2.16804,-2.76546,0.986524,0.174771,1.60561,0.683943,0.912397,1.64004,2.35281,0.609424,-0.860694,-0.436647,0.168775
0.712162,0.0384065,-0.434808,-0.813901,-0.51126,-0.159735,1.5286,1.18766,-0.949043,1.82351,1.0784,0.0490189,1.821,-0.067342,1.68099,0.417994,2.43741,-0.785749,0.683338,-0.449
-0.0899849,-1.13748,1.72141,0.186441,-0.46011,-0.561463,-0.794351,-0.566646,-1.64511,-1.61059,-1.19948,-1.6155,-1.08601,-0.382192,-0.0412775,-2.45323,0.127342,-1.62277,-2.66703,-0.360511
-0.116579,-0.701947,1.15437,0.535871,1.26075,-0.683166,1.50836,-2.29307,1.33605,-0.509031,-0.502951,0.527565,0.352137,-0.0189438,0.940662,0.771625,-0.122857,0.493697,0.646579,0.205819
1.77432,1.53924,-2.0438,0.252024,-0.645394,-1.95256,1.77591,2.10186,0.0289513,1.8357,1.07655,-0.248293,0.798805,-0.247772,1.76346,1.24817,3.05498,0.437676,1.05223,-0.814334
0.291891,0.545696,0.496855,0.35173,0.214618,-0.577705,0.0124353,0.0903677,1.58806,-0.322849,-0.69901,1.54144,1.25104,-0.399254,-1.27354,0.433505,-0.438985,-0.389452,0.114271,-0.204747
0.376905,-1.47627,0.20561,-0.23473,1.83577,-0.35526,-0.397632,0.769067,0.411548,-0.243214,1.42874,-0.980321,-0.0109775,-0.408522,0.618817,-0.727057,0.109461,-1.12444,-2.90607,-0.558495
0.897797,-1.68872,0.0945758,0.333725,-1.01981,1.99391,1.05266,1.67259,1.10487,1.31565,1.22596,0.341955,2.13753,-0.852599,0.955909,-1.2496,2.38788,-1.65236,1.48556,-0.673174
-0.312635,-0.529505,0.857307,0.968774,1.54125,0.377776,0.432441,-1.93885,1.21382,-1.80869,-0.982127,-3.38506,-1.03224,-0.31378,-0.444618,-0.560387,-1.00919,0.146273,-1.04331,-1.72934
-0.0066637,0.368684,1.79371,2.2834,0.405729,-1.40108,-1.02909,-2.62952,-1.26616,-1.08509,-0.952875,-0.203345,-0.628506,-0.983817,-0.46297,-2.97813,-0.378297,0.357623,-0.762514,-0.319651
0.834301,1.14262,1.07805,2.7644,1.4378,-0.423011,0.700772,-3.65252,-0.0924509,1.47737,1.48335,-1.30056,-2.7906,-0.119509,-0.545666,-1.00147,0.957232,0.352693,0.0110843,-1.78921
1.66224,0.791099,1.6613,1.68335,-0.837051,1.33199,1.81595,1.18401,-0.656816,3.59579,2.86086,0.576075,2.54297,-0.399441,0.922595,-1.57188,1.99628,-0.0741141,0.843568,0.25372
0.437113,0.783503,1.77428,2.69904,0.717403,-0.0868566,1.32083,-2.85713,0.811976,1.3001,1.02977,-0.420452,-1.2446,0.6329,0.198637,-1.36869,-0.627204,0.39225,-0.450771,-0.292871
1.09403,-0.716516,-1.25547,-1.20435,0.519445,0.165906,0.434323,1.91436,0.679561,0.54484,0.0701704,0.224727,1.50326,-0.596328,0.508106,-0.0928184,3.02622,-0.14103,-0.176733,-0.798811
-0.679519,-1.19163,-0.845578,0.232939,-0.427049,-0.183242,-0.409079,-3.82533,-1.17885,-1.05273,-1.03106,0.111998,-2.2441,-1.19652,0.0143559,0.69263,-2.8012,-1.37974,-1.58609,1.93995
0.0706022,0.67333,-0.638424,-1.17442,0.333881,0.851113,-0.68009,1.91086,-0.709384,0.450857,1.03557,0.334369,0.048719,2.53121,1.49593,0.627685,0.149349,-0.163865,0.15657,3.01288
1.34326,-0.0286432,1.35899,-0.0344931,1.68592,-2.85797,1.31623,-2.57857,0.892031,1.02149,0.897511,-1.83131,-0.653161,-0.543385,0.333204,0.711638,0.504876,0.440047,0.823726,-0.900043
-1.97369,1.52887,-1.60673,-1.77703,-1.17959,0.646215,-2.18984,-0.135768,-3.43669,-1.81219,-0.919456,-1.06086,-2.50215,1.37107,-0.533922,1.75742,-1.80499,1.20424,-1.31061,1.65234
-1.51821,0.583817,-0.480577,-1.21351,-0.410114,-0.90238,-2.49475,-0.536887,-3.46673,-1.76675,0.159379,0.953866,-1.79102,-0.0345698,-1.64622,2.0931,-1.3047,-0.338477,0.613018,0.670785
-0.421755,-0.836957,-1.44611,-2.03901,-0.545557,2.01264,-0.934838,2.06512,-0.68304,-0.400343,-2.10371,-1.62905,2.00786,0.692039,0.320773,0.575652,0.387062,-2.65003,-0.419123,0.0528783
0.377505,-1.03764,1.20285,-1.17954,-0.109471,1.41257,1.74066,1.55439,1.82012,1.9233,2.13609,0.409956,0.996954,1.20545,2.38825,1.11249,1.65269,0.966374,0.399445,2.58392
0.911972,-2.14954,-0.426668,0.76852,-0.858093,2.10929,1.51347,3.54672,0.963207,4.41152,3.96868,-1.57781,2.39235,1.89251,0.291795,-0.780191,0.939489,0.331708,2.33723,0.0951762
-0.23131,-0.0814325,0.621449,-0.214029,0.247307,-0.598106,-0.343816,-0.206644,-1.52477,-0.00395696,0.350389,0.543913,-0.0484922,0.56987,-0.994864,-0.731462,0.827387,-1.04523,0.860866,0.573793
-0.129802,-0.67531,-0.286306,-0.443281,-1.70807,0.585722,-0.681306,0.583053,1.4923,-1.40165,-0.249421,2.06067,-0.242046,1.16968,-0.823092,-0.140049,0.175359,0.684157,-0.491822,0.178817
0.859656,-0.118017,0.171098,-0.144903,-0.413012,1.12895,2.40407,3.59012,1.45737,1.04844,-0.0720869,-1.613,2.34516,0.432167,0.817372,-0.480246,-1.01584,1.47385,0.859751,-0.445784
0.113487,0.800853,0.391763,-0.143525,-0.135992,0.43362,0.830592,-0.308881,-0.170265,0.798796,0.840086,1.77935,-3.4651,-0.546966,-0.403789,0.176958,-0.893809,-0.967416,1.01366,0.265694
-1.54712,0.633463,-0.337065,-0.907592,0.0794984,0.0994604,-2.21668,1.14928,0.187822,-2.23248,-2.81497,0.20973,-0.2869,-0.833796,0.219444,0.274132,-0.852382,-2.01911,-1.81886,0.411133
0.587506,-0.269334,0.213469,1.72689,-1.72065,1.47925,0.72183,1.92029,0.264021,0.43093,0.941337,-0.472891,2.91651,0.721245,-0.365944,0.931355,1.61753,0.262728,0.583968,1.19624
-0.716691,-0.208105,0.114176,0.861328,-1.11828,1.74297,0.0530629,1.42112,1.37047,-2.054,-2.1313,-0.13063,1.14296,-0.684749,-1.04909,-0.489553,-0.296828,-0.443548,-0.383423,-0.994284
-0.789098,-0.900403,0.276738,-0.668608,-1.68623,1.48562,-0.0274316,1.17604,1.5075,-0.6173,-0.930176,0.337016,-0.315216,0.227453,-0.397891,0.348213,-0.638621,0.0976109,-1.34701,-0.777206
-1.14622,-0.946178,-0.274185,0.652768,0.445104,1.03286,-1.7502,0.311685,-1.38195,0.488742,1.62915,0.471443,-1.30594,-1.28016,1.22729,-0.510707,-2.30194,0.987086,0.00211832,1.67828
2.8412,0.868132,0.0800356,-0.15422,-0.39582,-1.15957,2.18822,1.58831,0.306772,3.7418,3.73396,-1.10739,1.81764,0.775309,1.72756,-0.636384,1.97379,-0.20735,1.58148,0.751475
-0.219186,-2.00465,-1.22072,-2.61184,1.13928,0.194694,0.579104,-0.000419056,1.58709,-0.913,-1.15374,-0.0109448,1.64594,1.91532,0.362638,2.19161,0.369514,1.50652,-0.0848835,1.5017
-0.407873,-1.11586,-0.630523,0.365884,-1.68231,1.43075,-1.34646,2.198,-2.71559,-0.825506,1.616,-1.73542,-0.141746,1.53506,0.5152,1.23982,-0.000726338,-0.762624,0.332999,0.291092
0.250587,2.32212,-0.546568,-0.63121,-0.882175,-0.344212,0.770618,-0.483889,-0.122232,-1.29263,-1.23389,0.291827,-0.47428,0.143143,1.09963,0.749253,1.3311,-2.51387,2.39931,1.58449
0.544567,1.05933,0.859174,0.511573,-0.313426,-0.9508,1.62351,-0.839233,1.46374,-1.7319,0.937897,-1.03863,-0.225643,0.764697,-1.015,0.854862,-0.854302,-1.08143,0.768949,-1.15391
1.46003,1.47115,0.19455,-0.00169016,-1.21357,-0.115855,3.13191,1.16141,1.53865,2.46921,2.31723,-0.197138,1.68284,0.520405,1.46101,1.33104,3.37257,-0.0112265,3.31127,-2.09505
0.169161,-1.0203,1.26662,1.42386,2.15862,-1.56173,0.895727,-4.23223,2.56463,1.23481,0.596656,0.989591,-3.00179,0.120329,-1.2208,-0.771772,-1.60753,1.90542,-0.455296,0.361389
-1.97356,0.722453,-0.691043,-1.73454,-1.08074,-0.973234,-2.7735,-1.68865,-1.29616,-1.09949,-1.84914,-0.109721,-2.95904,-0.853627,0.58926,2.07649,-3.23624,-1.47163,-2.79632,1.23041
1.12609,2.1234,-0.562264,-1.08424,-1.18497,-1.01858,2.66768,0.771765,3.55555,2.16866,1.0187,-1.06614,-0.215063,0.508861,0.0820341,0.374269,1.42931,-0.18634,1.6484,-0.045537
-0.744615,-0.0687937,1.49413,2.32802,0.754421,-0.791281,-0.763548,-3.60382,-0.0129704,-1.08327,-2.70845,-0.868847,-2.62522,0.468551,-1.58448,0.0576697,-0.287618,0.583293,-1.07033,-0.0234191
